primary_intent,canonical_owner,competing_urls,cannibalization_risk,recommended_action
house construction Chennai,/home-construction-chennai,/house-construction-chennai · /residential-construction-chennai · /build/home-construction · /services/house-construction · /services/residential-construction,HIGH — 5 pages for same intent,Designate /home-construction-chennai as canonical. 301 /house-construction-chennai → /home-construction-chennai. Merge /build/home-construction. Review /services/* for cross-link only.
villa construction Chennai,/[serviceSlug] (villa slug),/build/villa-construction · /services/villa-construction,MEDIUM — 3 pages,Canonicalize /services/villa-construction to [serviceSlug]. Review /build/villa-construction audience vs [serviceSlug].
turnkey construction Chennai,/turnkey-construction-chennai,[serviceSlug] · /build,LOW,Keep as [serviceSlug] — distinct commercial intent
residential construction Chennai,/residential-construction-chennai,/home-construction-chennai · /house-construction-chennai,HIGH — near-duplicate of home construction,Consider merge: redirect to /home-construction-chennai with 301
BOQ audit Chennai,/boq-audit,/boq-review-chennai (404) · /contractor-quote-review-chennai · /ai-boq-checker,MEDIUM — 3 overlapping pages,Keep /boq-audit as lead-gen hub. Add /boq-review-chennai to services.js (distinct Chennai audience). /contractor-quote-review-chennai stays (contractor-specific intent).
structural audit Chennai,/structural-audit-chennai,[serviceSlug] · /building-structural-audit-chennai · /residential-structural-audit-chennai · /commercial-structural-audit-chennai · /old-building-structural-audit-chennai · /apartment-structural-audit-chennai (404),HIGH — 6 near-duplicates,Keep /structural-audit-chennai as canonical hub. Make others FAQs/sections OR canonicalize to main. /apartment-structural-audit-chennai needs to be added to services.js.
NDT testing Chennai,/ndt-testing-chennai,/rebound-hammer-test-chennai · /upv-test-chennai · /rebar-scanning-chennai · /core-test-concrete-chennai,LOW — supporting detail pages are distinct tests,Keep all — different search intents. /ndt-testing-chennai = hub. Others = specific tests. Good pillar structure.
soil testing Chennai,/soil-testing-chennai,/soil-investigation-chennai · /plate-load-test-chennai,MEDIUM — soil testing vs soil investigation overlap,Differentiate: soil testing (quick SBC) vs soil investigation (SPT/borehole). Keep both with clear distinctions.
piling contractors Chennai,/pile-foundation-contractors-chennai,/bored-cast-in-situ-piles-chennai · /dmc-piling-contractors-chennai · /micro-piling-contractors-chennai,LOW — distinct pile types,Keep all — clearly different pile methods. Good topical depth.
site supervision Chennai,/site-supervision-chennai,/quality-inspection-chennai · /quality-system,MEDIUM — overlapping quality/supervision intent,Keep /site-supervision-chennai (execution service). /quality-inspection-chennai (inspection product). /quality-system (methodology). Differentiate clearly.
construction cost Chennai,/cost-estimator,/construction-cost-estimation-chennai · /ai-construction-cost-estimator,MEDIUM — tool vs service page,Keep /cost-estimator (tool). /construction-cost-estimation-chennai (service/consultation). /ai-construction-cost-estimator (AI tool). Differentiate framing.
construction company Chennai,/construction-company-chennai,/construction-in-chennai · / (homepage),LOW,Keep — distinct business-query intent
land survey Chennai,/land-survey-chennai,/topographic-survey-chennai · /contour-survey-chennai · /dgps-survey-chennai · /total-station-survey-chennai · /drone-survey-chennai,LOW — distinct survey types,Keep all — different methods. /land-survey-chennai = hub. Others = specific methods.
building contractors Chennai,/builders-in-chennai,/partners/builders · /partners/directory,LOW,Keep /builders-in-chennai (SEO page). /partners/builders (category). Distinct intents.
construction material prices Chennai,/materials,/materials/cement · /materials/tmt-steel · /materials/rmc,LOW — hub + detail pages,Good pillar structure. Keep.
Chennai home construction cost per sqft,/cost-estimator,/construction-cost-estimation-chennai · /boq-audit,MEDIUM,Cost estimator = tool. Cost estimation = consultation service. Keep distinct.
property passport Chennai,/property-passport,/ai-property-passport-assistant,LOW,Keep both — distinct (product page vs AI tool)
construction in Chennai (generic),/construction-in-chennai,/ (homepage) · /construction-company-chennai,LOW,Keep /construction-in-chennai as Chennai hub. Homepage is brand. /construction-company-chennai is B2B query.
renovation contractors Chennai,/renovation-contractors-chennai,/build/renovation,LOW,Merge /build/renovation content into /renovation-contractors-chennai OR keep /build as audience-focused
pile load test Chennai,/pile-load-test-chennai,/pile-integrity-test-chennai · /dynamic-pile-load-test-chennai,LOW — distinct test types,Keep all — genuinely different tests
